Ex-Dividend Date,Dividend,NAV,Payouts Years
2025/03/21,1.4,53.71,4
2024/12/17,1.4,53.78,4
2024/09/18,1.5,56.28,4
2024/06/19,1.5,58.21,4
2024/03/18,0.88,53.82,4
2023/12/18,0.84,50.16,4
2023/09/18,0.84,47.64,4
2023/06/16,0.68,45.93,4
2023/03/17,0.68,38.82,4
2022/12/16,1.45,37.19,2
2022/09/19,1.45,38.28,2
2021/11/19,3.15,42.77,1
2020/11/20,1.7,33.54,1
2019/11/22,1.6,31.86,1 
2018/11/22,1.55,27.88,1

