Ex-Dividend Date,Dividend,NAV,Payouts Years,Par Value
2025/03/18,0.72,23.05,4,15
2024/12/20,0.72,23.03,4,15
2024/09/23,0.72,23.58,4,15
2024/06/24,0.7,25.82,4,15
2024/03/18,0.66,25.46,4,15
2023/12/18,0.55,22.31,4,15
2023/09/18,0.54,21.04,4,15
2023/06/16,0.54,19.69,4,15
